Location,Land_ice_area,Total_balance,ELA,Date
Jamtalferner,	3.85,	-1.70,	2870,	1988/1989
Jamtalferner,	3.85,	-1.64,	2900,	1989/1990
Jamtalferner,	3.85,	-5.54,	****,	1990/1991
Jamtalferner,	3.85,	-4.74,	****,	1991/1992
Jamtalferner,	3.85,	-1.43,	2860,	1992/1993
Jamtalferner,	3.85,	-3.18,	****,	1993/1994
Jamtalferner,	3.80,	-0.55,	2820,	1994/1995
Jamtalferner,	3.79,	-2.09,	2900,	1995/1996
Jamtalferner,	3.79,	-0.82,	2800,	1996/1997
Jamtalferner,	3.78,	-4.99,	****,	1997/1998
Jamtalferner,	3.78,	-0.97,	2870,	1998/1999
Jamtalferner,	3.68,	-0.30,	2765,	1999/2000
Jamtalferner,	3.65,	-0.23,	2780,	2000/2001
Jamtalferner,	3.62,	-2.43,	2910,	2001/2002
Jamtalferner,	3.46,	-7.71,	****,	2002/2003
Jamtalferner,	3.46,	-0.79,	2870,	2003/2004
Jamtalferner,	3.54,	-3.45,	****,	2004/2005
Jamtalferner,	3.48,	-4.49,	>3000,	2005/2006
Jamtalferner,	3.43,	-4.94,	****,	2006/2007
Jamtalferner,	3.31,	-3.25,	****,	2007/2008
Jamtalferner,	3.25,	-3.10,	3113,	2008/2009
Jamtalferner,	3.17,	-3.22,	****,	2009/2010
Jamtalferner,	3.17,	-4.55,	****,	2010/2011
Hintereisferner,	9.76,	-6.43,	3020,	1952/1953
Hintereisferner,	9.74,	-4.02,	2970,	1953/1954
Hintereisferner,	9.74,	-0.39,	2850,	1954/1955
Hintereisferner,	9.74,	-1.70,	2920,	1955/1956
Hintereisferner,	9.71,	-3.92,	2930,	1956/1957
Hintereisferner,	9.66,	-9.70,	3100,	1957/1958
Hintereisferner,	9.61,	-8.67,	3060,	1958/1959
Hintereisferner,	9.53,	-0.63,	2880,	1959/1960
Hintereisferner,	9.49,	-1.40,	2940,	1960/1961
Hintereisferner,	9.48,	-6.48,	3080,	1961/1962
Hintereisferner,	9.48,	-5.87,	3010,	1962/1963
Hintereisferner,	9.32,	-12.47,	3180,	1963/1964
Hintereisferner,	9.31,	8.71,	2770,	1964/1965
Hintereisferner,	9.32,	3.39,	2850,	1965/1966
Hintereisferner,	9.28,	0.30,	2920,	1966/1967
Hintereisferner,	9.27,	3.24,	2850,	1967/1968
Hintereisferner,	9.01,	-3.88,	2960,	1968/1969
Hintereisferner,	9.01,	-4.98,	3030,	1969/1970
Hintereisferner,	9.00,	-5.40,	3040,	1970/1971
Hintereisferner,	8.99,	-0.66,	2935,	1971/1972
Hintereisferner,	8.99,	-11.06,	3250,	1972/1973
Hintereisferner,	8.99,	0.49,	2910,	1973/1974
Hintereisferner,	8.97,	0.58,	2905,	1974/1975
Hintereisferner,	8.96,	-2.81,	2995,	1975/1976
Hintereisferner,	8.88,	6.76,	2840,	1976/1977
Hintereisferner,	8.88,	3.65,	2825,	1977/1978
Hintereisferner,	9.08,	-1.99,	2970,	1978/1979
Hintereisferner,	9.08,	-0.45,	2930,	1979/1980
Hintereisferner,	9.08,	-1.57,	2940,	1980/1981
Hintereisferner,	9.07,	-11.23,	3260,	1981/1982
Hintereisferner,	9.07,	-5.28,	3075,	1982/1983
Hintereisferner,	9.07,	0.29,	2970,	1983/1984
Hintereisferner,	9.07,	-5.20,	3010,	1984/1985
Hintereisferner,	9.06,	-6.63,	3080,	1985/1986
Hintereisferner,	9.05,	-6.49,	3070,	1986/1987
Hintereisferner,	9.03,	-8.54,	3130,	1987/1988
Hintereisferner,	8.99,	-5.73,	3080,	1988/1989
Hintereisferner,	8.98,	-8.94,	3115,	1989/1990
Hintereisferner,	8.88,	-11.77,	3260,	1990/1991
Hintereisferner,	8.88,	-9.94,	3155,	1991/1992
Hintereisferner,	8.75,	-5.02,	3050,	1992/1993
Hintereisferner,	8.74,	-9.67,	3145,	1993/1994
Hintereisferner,	8.73,	-4.02,	3080,	1994/1995
Hintereisferner,	8.72,	-7.20,	3100,	1995/1996
Hintereisferner,	8.70,	-5.15,	3050,	1996/1997
Hintereisferner,	8.30,	-10.22,	3160,	1997/1998
Hintereisferner,	8.22,	-7.08,	3105,	1998/1999
Hintereisferner,	8.11,	-5.14,	3050,	1999/2000
Hintereisferner,	7.96,	-1.38,	2955,	2000/2001
Hintereisferner,	7.91,	-5.11,	3050,	2001/2002
Hintereisferner,	7.82,	-14.19,	***,	2002/2003
Hintereisferner,	7.56,	-5.04,	3185,	2003/2004
Hintereisferner,	7.47,	-7.92,	3225,	2004/2005
Hintereisferner,	7.40,	-11.22,	***,	2005/2006
Hintereisferner,	7.21,	-12.96,	***,	2006/2007
Hintereisferner,	7.10,	-8.77,	3276,	2007/2008
Hintereisferner,	6.96,	-8.23,	3257,	2008/2009
Hintereisferner,	6.96,	-5.71,	3116,	2009/2010
Hintereisferner,	6.86,	-9.74,	3285,	2010/2011
Hallstaetter,	3.04,	-0.88,	2581,	2006/2007
Hallstaetter,	3.04,	-2.13,	2592,	2007/2008
Hallstaetter,	3.01,	-2.79,	2616,	2008/2009
Hallstaetter,	3.016,	-2.11,	2588,	2009/2010
Hallstaetter,	3.016,	-6.07,	2822,	2010/2011
